가	k a
아프고	a pʰ ɯ g o
아프로	a pʰ ɯ ɾ o
아프로는	a pʰ ɯ ɾ o n ɯ n
아프미	a pʰ ɯ m i
아플	a pʰ ɯ l
아피	a pʰ i
아피며	a pʰ i m j ʌ
악쑤를	a k̚ s͈ u ɾ ɯ l
안	a n
안개	a n k ɛ
안개처럼	a n k ɛ t͡ɕʰ ʌ ɾ ʌ m
안경은	a n k j ʌ ŋ ɯ n
안꼬	a n k͈ o
안녕히	a n n j ʌ ŋ h i
안는	a n n ɯ n
안는가	a n n ɯ n k a
안는다	a n n ɯ n t a
안다	a n t a
안다면	a n t a m j ʌ n
안방에	a n p a ŋ e
안방에서는	a n p a ŋ e s ʌ n ɯ n
안부	a n p u
안시카시니라	a n s i kʰ a s i n i ɾ a
안자	a n t͡ɕ a
안자서	a n t͡ɕ a s ʌ
안잗께	a n t͡ɕ a t̚ k͈ e
안잗꼬	a n t͡ɕ a t̚ k͈ o
안잗따	a n t͡ɕ a t̚ t͈ a
안전과	a n t͡ɕ ʌ n k w a
안즈며	a n t͡ɕ ɯ m j ʌ
안즈시면	a n t͡ɕ ɯ s i m j ʌ n
안즌	a n t͡ɕ ɯ n
안쳗따	a n t͡ɕʰ ʌ t̚ t͈ a
안케	a n kʰ e
안코	a n kʰ o
안키로	a n kʰ i ɾ o
안타까웓따	a n tʰ a k͈ a w ʌ t̚ t͈ a
안타깝께	a n tʰ a k͈ a p̚ k͈ e
안토로	a n tʰ o ɾ o
안하지유	a n h a d͡ʑ i j u
알	a l
알게	a l k e
알고	a l k o
알고도	a l k o d o
알고이썯따	a l k o i s͈ ʌ t̚ t͈ a
알기	a l k i
알레그로가	a l l e g ɯ ɾ o g a
알려진다	a l l j ʌ d͡ʑ i n t a
알지	a l t͡ɕ i
알지를	a l t͡ɕ i ɾ ɯ l
암만	a m m a n
암흑꽈	a m h ɯ k̚ k͈ w a
압까지	a p̚ k͈ a d͡ʑ i
압낄까지도	a p̚ k͈ i l k͈ a d͡ʑ i d o
압낄도	a p̚ k͈ i l t o
압뛰를	a p̚ t͈ w i ɾ ɯ l
압뜰과	a p̚ t͈ ɯ l k w a
압써	a p̚ s͈ ʌ
압짱을	a p̚ t͡ɕ͈ a ŋ ɯ l
압쪼글	a p̚ t͡ɕ͈ o g ɯ l
압축끼를	a p̚ t͡ɕʰ u k̚ k͈ i ɾ ɯ l
앙상한	a ŋ s a ŋ h a n
애	ɛ
애가	ɛ g a
애까지	ɛ k͈ a d͡ʑ i
애드릐	ɛ d ɯ ɾ i
애들보담	ɛ d ɯ l p o d a m
애련하다	ɛ ɾ j ʌ n h a d a
애를	ɛ ɾ ɯ l
애상저기던	ɛ s a ŋ t͡ɕ ʌ g i d ʌ n
애쓰는	ɛ s͈ ɯ n ɯ n
애쓰지	ɛ s͈ ɯ d͡ʑ i
애완동무를	ɛ w a n t o ŋ m u ɾ ɯ l
애정이라는	ɛ d͡ʑ ʌ ŋ i ɾ a n ɯ n
앤더스는	ɛ n t ʌ s ɯ n ɯ n
앤더스늘	ɛ n t ʌ s ɯ n ɯ l
야	j a
야간자율학씁	j a g a n t͡ɕ a j u l h a k̚ s͈ ɯ p̚
야근할	j a g ɯ n h a l
야글	j a g ɯ l
야다니얻씀니다	j a d a n i ʌ t̚ s͈ ɯ m n i d a
야이늘	j a i n ɯ l
야튼	j a tʰ ɯ n
야하기라는	j a h a g i ɾ a n ɯ n
약깐	j a k̚ k͈ a n
약깝	j a k̚ k͈ a p̚
약쏘카지	j a k̚ s͈ o kʰ a d͡ʑ i
약쭈	j a k̚ t͡ɕ͈ u
양가의	j a ŋ k a ɰ i
양머리에	j a ŋ m ʌ ɾ i e
양무리	j a ŋ m u ɾ i
양물터로	j a ŋ m u l tʰ ʌ ɾ o
양보게	j a ŋ p o g e
양보길	j a ŋ p o g i l
양복쨍이는	j a ŋ p o k̚ t͡ɕ͈ ɛ ŋ i n ɯ n
양복쨍이드릐	j a ŋ p o k̚ t͡ɕ͈ ɛ ŋ i d ɯ ɾ i
양복쨍이를	j a ŋ p o k̚ t͡ɕ͈ ɛ ŋ i ɾ ɯ l
양볼	j a ŋ p o l
양소늘	j a ŋ s o n ɯ l
양시메	j a ŋ s i m e
양식	j a ŋ s i k̚
양야기	j a ŋ j a g i
양유카면	j a ŋ j u kʰ a m j ʌ n
양을	j a ŋ ɯ l
양자	j a ŋ t͡ɕ a
양장한	j a ŋ t͡ɕ a ŋ h a n
양치지를	j a ŋ t͡ɕʰ i d͡ʑ i ɾ ɯ l
양푸네	j a ŋ pʰ u n e
양호한	j a ŋ h o h a n
어깨	ʌ k͈ ɛ
어깨를	ʌ k͈ ɛ ɾ ɯ l
어깨에	ʌ k͈ ɛ e
어나	ʌ n a
어느	ʌ n ɯ
어느덛	ʌ n ɯ d ʌ t̚
어느새	ʌ n ɯ s ɛ
어더	ʌ d ʌ
어더마즌	ʌ d ʌ m a d͡ʑ ɯ n
어더서	ʌ d ʌ s ʌ
어더야	ʌ d ʌ j a
어덛따	ʌ d ʌ t̚ t͈ a
어두운	ʌ d u u n
어드리라	ʌ d ɯ ɾ i l a
어든	ʌ d ɯ n
어들	ʌ d ɯ l
어디	ʌ d i
어디까지	ʌ d i k͈ a d͡ʑ i
어디까지든지	ʌ d i k͈ a d͡ʑ i d ɯ n t͡ɕ i
어디냐는	ʌ d i n j a n ɯ n
어디든지	ʌ d i t ɯ n t͡ɕ i
어디로	ʌ d i ɾ o
어디로인지	ʌ d i ɾ o i n t͡ɕ i
어디론지	ʌ d i ɾ o n t͡ɕ i
어디서	ʌ d i s ʌ
어디에	ʌ d i e
어디읻쬬	ʌ d i i t̚ t͡ɕ͈ j o
어딘가	ʌ d i n k a
어때	ʌ t͈ ɛ
어떠캐	ʌ t͈ ʌ kʰ ɛ
어떠케	ʌ t͈ ʌ kʰ e
어떠케든지	ʌ t͈ ʌ kʰ e d ɯ n t͡ɕ i
어떠튼	ʌ t͈ ʌ tʰ ɯ n
어떠튼지	ʌ t͈ ʌ tʰ ɯ n t͡ɕ i
어떠한	ʌ t͈ ʌ h a n
어떤	ʌ t͈ ʌ n
어랍씨요	ʌ ɾ a p̚ s͈ i j o
어려쓸	ʌ ɾ j ʌ s͈ ɯ l
어려운	ʌ ɾ j ʌ u n
어루만저	ʌ ɾ u m a n t͡ɕ ʌ
어루만지며	ʌ ɾ u m a n t͡ɕ i m j ʌ
어룽어룽하니	ʌ ɾ u ŋ ʌ ɾ u ŋ h a n i
어리서근	ʌ ɾ i s ʌ g ɯ n
어린	ʌ ɾ i n
어머는	ʌ m ʌ n ɯ n
어머니	ʌ m ʌ n i
어머니가	ʌ m ʌ n i g a
어머니까지	ʌ m ʌ n i k͈ a d͡ʑ i
어머니는	ʌ m ʌ n i n ɯ n
어머니도	ʌ m ʌ n i d o
어머니라는	ʌ m ʌ n i ɾ a n ɯ n
어머니를	ʌ m ʌ n i ɾ ɯ l
어머니만	ʌ m ʌ n i m a n
어머니와	ʌ m ʌ n i w a
어머니의	ʌ m ʌ n i ɰ i
어면하여젇따	ʌ m j ʌ n h a j ʌ d͡ʑ ʌ t̚ t͈ a
어미가	ʌ m i g a
어미를	ʌ m i ɾ ɯ l
어서	ʌ s ʌ
어스러슬	ʌ s ɯ ɾ ʌ s ɯ l
어스러슬한	ʌ s ɯ ɾ ʌ s ɯ l h a n
어우러저서	ʌ u ɾ ʌ d͡ʑ ʌ s ʌ
어이	ʌ i
어정어정	ʌ d͡ʑ ʌ ŋ ʌ d͡ʑ ʌ ŋ
어제	ʌ d͡ʑ e
어제를	ʌ d͡ʑ e ɾ ɯ l
어젣빰	ʌ d͡ʑ e t̚ p͈ a m
어젣빰부터	ʌ d͡ʑ e t̚ p͈ a m p u tʰ ʌ
어젣쩌녀게	ʌ d͡ʑ e t̚ t͡ɕ͈ ʌ n j ʌ g e
어짿뜬	ʌ t͡ɕ͈ ɛ t̚ t͈ ɯ n
어쩌나	ʌ t͡ɕ͈ ʌ n a
어쩌란	ʌ t͡ɕ͈ ʌ ɾ a n
어쩔	ʌ t͡ɕ͈ ʌ l
어찌	ʌ t͡ɕ͈ i
어찌할	ʌ t͡ɕ͈ i h a l
어차피	ʌ t͡ɕʰ a pʰ i
어프러젇따	ʌ pʰ ɯ ɾ ʌ d͡ʑ ʌ t̚ t͈ a
억쎈	ʌ k̚ s͈ e n
억쩨하느니라	ʌ k̚ t͡ɕ͈ e h a n ɯ n i ɾ a
억찌로	ʌ k̚ t͡ɕ͈ i ɾ o
억찌루	ʌ k̚ t͡ɕ͈ i ɾ u
언나니	ʌ n n a n i
언는다	ʌ n n ɯ n t a
언니는	ʌ n n i n ɯ n
언더그로	ʌ n t ʌ g ɯ ɾ o
언더글	ʌ n t ʌ g ɯ l
언덕	ʌ n t ʌ k̚
언뜯	ʌ n t͈ ɯ t̚
언저	ʌ n t͡ɕ ʌ
언젇씀니다	ʌ n t͡ɕ ʌ t̚ s͈ ɯ m n i d a
언제	ʌ n t͡ɕ e
언제나	ʌ n t͡ɕ e n a
언제든지	ʌ n t͡ɕ e d ɯ n t͡ɕ i
언즌	ʌ n t͡ɕ ɯ n
얻끼에	ʌ t̚ k͈ i e
얼겨레	ʌ l k j ʌ ɾ e
얼구레	ʌ l k u ɾ e
얼구레도	ʌ l k u ɾ e d o
얼구른	ʌ l k u ɾ ɯ n
얼구를	ʌ l k u ɾ ɯ l
얼구리	ʌ l k u ɾ i
얼구리믈	ʌ l k u ɾ i m ɯ l
얼구린데	ʌ l k u ɾ i n t e
얼굴과	ʌ l k u l k w a
얼굴도	ʌ l k u l t o
얼굴만	ʌ l k u l m a n
얼근하게	ʌ l k ɯ n h a g e
얼더듬는다	ʌ l t ʌ d ɯ m n ɯ n t a
얼락	ʌ l l a k̚
얼른	ʌ l l ɯ n
얼마	ʌ l m a
얼마나	ʌ l m a n a
얼마짜리인지	ʌ l m a t͡ɕ͈ a ɾ i i n t͡ɕ i
얼핀	ʌ l pʰ i n
얼핃	ʌ l pʰ i t̚
엄네	ʌ m n e
엄는	ʌ m n ɯ n
엄는가	ʌ m n ɯ n k a
엄는데요	ʌ m n ɯ n t e j o
엄두가	ʌ m t u g a
엄수카고	ʌ m s u kʰ a g o
엄중히	ʌ m t͡ɕ u ŋ h i
엄청난	ʌ m t͡ɕʰ ʌ ŋ n a n
업꼬	ʌ p̚ k͈ o
업끼를	ʌ p̚ k͈ i ɾ ɯ l
업따	ʌ p̚ t͈ a
업따는	ʌ p̚ t͈ a n ɯ n
업뜨러지며	ʌ p̚ t͈ ɯ ɾ ʌ d͡ʑ i m j ʌ
업뜨려	ʌ p̚ t͈ ɯ ɾ j ʌ
업써	ʌ p̚ s͈ ʌ
업써도	ʌ p̚ s͈ ʌ d o
업써요	ʌ p̚ s͈ ʌ j o
업썯꼬	ʌ p̚ s͈ ʌ t̚ k͈ o
업썯따	ʌ p̚ s͈ ʌ t̚ t͈ a
업썯씀니다	ʌ p̚ s͈ ʌ t̚ s͈ ɯ m n i d a
업쓰나	ʌ p̚ s͈ ɯ n a
업쓰니	ʌ p̚ s͈ ɯ n i
업쓰니깐	ʌ p̚ s͈ ɯ n i k͈ a n
업쓰되	ʌ p̚ s͈ ɯ d w e
업쓰며	ʌ p̚ s͈ ɯ m j ʌ
업쓰믈	ʌ p̚ s͈ ɯ m ɯ l
업쓸	ʌ p̚ s͈ ɯ l
업씨	ʌ p̚ s͈ i
업씨녀겨쓰미라	ʌ p̚ s͈ i n j ʌ g j ʌ s͈ ɯ m i ɾ a
업짜나	ʌ p̚ t͡ɕ͈ a n a
엉거주춤	ʌ ŋ k ʌ d͡ʑ u t͡ɕʰ u m
엉거주춤하고	ʌ ŋ k ʌ d͡ʑ u t͡ɕʰ u m h a g o
엉매이지	ʌ ŋ m ɛ i d͡ʑ i
엉엉	ʌ ŋ ʌ ŋ
엉크러진다	ʌ ŋ kʰ ɯ ɾ ʌ d͡ʑ i n t a
에덴동사네서	e d e n t o ŋ s a n e s ʌ
에미를	e m i ɾ ɯ l
엘리베이터만	e l l i b e i tʰ ʌ m a n
엘지가	e l t͡ɕ i g a
여공	j ʌ g o ŋ
여공드를	j ʌ g o ŋ t ɯ ɾ ɯ l
여공드리	j ʌ g o ŋ t ɯ ɾ i
여공들	j ʌ g o ŋ t ɯ l
여공은	j ʌ g o ŋ ɯ n
여공의	j ʌ g o ŋ ɰ i
여공이	j ʌ g o ŋ i
여기	j ʌ g i
여기까지	j ʌ g i k͈ a d͡ʑ i
여기는	j ʌ g i n ɯ n
여동생이	j ʌ d o ŋ s ɛ ŋ i
여든까지	j ʌ d ɯ n k͈ a d͡ʑ i
여러	j ʌ ɾ ʌ
여러부는	j ʌ ɾ ʌ b u n ɯ n
여럳따	j ʌ ɾ ʌ t̚ t͈ a
여르메	j ʌ ɾ ɯ m e
여름날	j ʌ ɾ ɯ m n a l
여물	j ʌ m u l
여보게	j ʌ b o g e
여인과	j ʌ i n k w a
여자	j ʌ d͡ʑ a
여자가	j ʌ d͡ʑ a g a
여자드리	j ʌ d͡ʑ a d ɯ ɾ i
여자야	j ʌ d͡ʑ a j a
여자와	j ʌ d͡ʑ a w a
여자의	j ʌ d͡ʑ a ɰ i
여전히	j ʌ d͡ʑ ʌ n h i
여지도	j ʌ d͡ʑ i d o
여페	j ʌ pʰ e
여페서	j ʌ pʰ e s ʌ
여프로	j ʌ pʰ ɯ ɾ o
여프로는	j ʌ pʰ ɯ ɾ o n ɯ n
여플	j ʌ pʰ ɯ l
여픠	j ʌ pʰ i
여학쌩드른	j ʌ h a k̚ s͈ ɛ ŋ t ɯ ɾ ɯ n
여학쌩인지	j ʌ h a k̚ s͈ ɛ ŋ i n t͡ɕ i
여호와	j ʌ h o w a
여호와는	j ʌ h o w a n ɯ n
여호와를	j ʌ h o w a ɾ ɯ l
여호와시니라	j ʌ h o w a s i n i ɾ a
역씨	j ʌ k̚ s͈ i
연단	j ʌ n t a n
연도를	j ʌ n t o ɾ ɯ l
연모세	j ʌ n m o s e
연모싀	j ʌ n m o s i
연몬늘	j ʌ n m o n n ɯ l
연상케	j ʌ n s a ŋ kʰ e
연지	j ʌ n t͡ɕ i
연피를	j ʌ n pʰ i ɾ ɯ l
연하고	j ʌ n h a g o
연하여	j ʌ n h a j ʌ
연한	j ʌ n h a n
연해	j ʌ n h ɛ
연해연방	j ʌ n h ɛ j ʌ n p a ŋ
연후에야	j ʌ n h u e j a
열고	j ʌ l k o
열람할	j ʌ l l a m h a l
열렫따	j ʌ l l j ʌ t̚ t͈ a
열리는	j ʌ l l i n ɯ n
열매를	j ʌ l m ɛ ɾ ɯ l
열버젇따	j ʌ l p ʌ d͡ʑ ʌ t̚ t͈ a
열시므로	j ʌ l s i m ɯ ɾ o
열심히	j ʌ l s i m h i
열정가가치	j ʌ l t͡ɕ ʌ ŋ k a g a t͡ɕʰ i
열지는	j ʌ l t͡ɕ i n ɯ n
열지니라	j ʌ l t͡ɕ i n i ɾ a
열한시	j ʌ l h a n s i
염녀를	j ʌ m n j ʌ ɾ ɯ l
염도	j ʌ m t o
염치불구하고	j ʌ m t͡ɕʰ i b u l k u h a g o
엽	j ʌ p̚
엽꾸리를	j ʌ p̚ k͈ u ɾ i l ɯ l
엽빵으로	j ʌ p̚ p͈ a ŋ ɯ ɾ o
엽찌베서는	j ʌ p̚ t͡ɕ͈ i b e s ʌ n ɯ n
영	j ʌ ŋ
영감니미	j ʌ ŋ k a m n i m i
영광	j ʌ ŋ k w a ŋ
영수게게	j ʌ ŋ s u g e k e
영수근	j ʌ ŋ s u g ɯ n
영수글	j ʌ ŋ s u g ɯ l
영수긔	j ʌ ŋ s u g i
영수기	j ʌ ŋ s u g i
영수와	j ʌ ŋ s u w a
영숙	j ʌ ŋ s u k̚
영숙꽈	j ʌ ŋ s u k̚ k͈ w a
영숙또	j ʌ ŋ s u k̚ t͈ o
영시는	j ʌ ŋ s i n ɯ n
영시늘	j ʌ ŋ s i n ɯ l
영시늬	j ʌ ŋ s i n i
영시니가	j ʌ ŋ s i n i g a
영시니도	j ʌ ŋ s i n i d o
영양이	j ʌ ŋ j a ŋ i
영어궈네서는	j ʌ ŋ ʌ g w ʌ n e s ʌ n ɯ n
영예를	j ʌ ŋ j e ɾ ɯ l
영원한	j ʌ ŋ w ʌ n h a n
영전수여	j ʌ ŋ t͡ɕ ʌ n s u j ʌ
영처릐	j ʌ ŋ t͡ɕʰ ʌ ɾ i
예	j e
예나	j e n a
예민해	j e m i n h ɛ
예배당마니	j e b ɛ d a ŋ m a n i
예배당에는	j e b ɛ d a ŋ e n ɯ n
예비비는	j e b i p i n ɯ n
예비비의	j e b i p i ɰ i
예쁘심니다	j e p͈ ɯ s i m n i d a
예수가	j e s u g a
예수교	j e s u g j o
예수릐	j e s u ɾ i
예정이다	j e d͡ʑ ʌ ŋ i d a
예츠근	j e t͡ɕʰ ɯ g ɯ n
옌나레	j e n n a ɾ e
오	o
오겓찌	o g e t̚ t͡ɕ͈ i
오고	o g o
오그라지기	o g ɯ ɾ a d͡ʑ i g i
오그로글	o g ɯ ɾ o g ɯ l
오기를	o g i ɾ ɯ l
오노	o n o
오느른	o n ɯ ɾ ɯ n
오는	o n ɯ n
오늘	o n ɯ l
오늘부터	o n ɯ l p u tʰ ʌ
오다가	o d a g a
오던	o d ʌ n
오라고	o ɾ a g o
오라질	o ɾ a d͡ʑ i l
오랍쑈니까	o ɾ a p̚ s͈ j o n i k͈ a
오래	o ɾ ɛ
오래간마네	o ɾ ɛ g a n m a n e
오래이다	o ɾ ɛ i d a
오로지	o ɾ o d͡ʑ i
오륙빽	o ɾ j u k̚ p͈ ɛ k̚
오르간	o ɾ ɯ g a n
오르내리려면	o ɾ ɯ n ɛ ɾ i l j ʌ m j ʌ n
오른다	o ɾ ɯ n t a
오른쪼김니다	o ɾ ɯ n t͡ɕ͈ o g i m n i d a
오른펴네	o ɾ ɯ n pʰ j ʌ n e
오른편	o ɾ ɯ n pʰ j ʌ n
오므로	o m ɯ ɾ o
오세서	o s e s ʌ
오셔써요	o s j ʌ s͈ ʌ j o
오슬	o s ɯ l
오시	o s i
오심	o s i m
오십쩐	o s i p̚ t͡ɕ͈ ʌ n
오싸캐지며	o s͈ a kʰ ɛ d͡ʑ i m j ʌ
오줌내	o d͡ʑ u m n ɛ
오지	o d͡ʑ i
오직	o d͡ʑ i k̚
오케스트라의	o kʰ e s ɯ tʰ ɯ ɾ a ɰ i
오후의	o h u ɰ i
옥쩌메게서	o k̚ t͡ɕ͈ ʌ m e g e s ʌ
옥쩌믄	o k̚ t͡ɕ͈ ʌ m ɯ n
옥쩌믜	o k̚ t͡ɕ͈ ʌ m i
옥쩌미가	o k̚ t͡ɕ͈ ʌ m i g a
옥쩌미년과	o k̚ t͡ɕ͈ ʌ m i n j ʌ n k w a
옥쩌미는	o k̚ t͡ɕ͈ ʌ m i n ɯ n
옥쩌미를	o k̚ t͡ɕ͈ ʌ m i ɾ ɯ l
옥쩌미얻따	o k̚ t͡ɕ͈ ʌ m i ʌ t̚ t͈ a
옥쩌미와	o k̚ t͡ɕ͈ ʌ m i w a
옥쩌미와의	o k̚ t͡ɕ͈ ʌ m i w a ɰ i
옥쩌미의	o k̚ t͡ɕ͈ ʌ m i ɰ i
옥쩜	o k̚ t͡ɕ͈ ʌ m
온	o n
온갇	o n k a t̚
온내	o n n ɛ
온다	o n t a
온모미	o n m o m i
옫	o t̚
옫깔피를	o t̚ k͈ a l pʰ i ɾ ɯ l
옫또	o t̚ t͈ o
올	o l
올라가	o l l a g a
올라가는	o l l a g a n ɯ n
올라가라고	o l l a g a ɾ a g o
올라갇따	o l l a g a t̚ t͈ a
올라서서	o l l a s ʌ s ʌ
올라섣따	o l l a s ʌ t̚ t͈ a
올라오려고	o l l a o ɾ j ʌ g o
올라오며	o l l a o m j ʌ
올라온다	o l l a o n t a
올라왇따	o l l a w a t̚ t͈ a
올라왇떤	o l l a w a t̚ t͈ ʌ n
올랃따	o l l a t̚ t͈ a
올리고	o l l i g o
옴겨	o m k j ʌ
와꾸를	w a k͈ u ɾ ɯ l
와르르	w a ɾ ɯ l ɯ
와서	w a s ʌ
와서는	w a s ʌ n ɯ n
와쓰며	w a s͈ ɯ m j ʌ
와쓰면	w a s͈ ɯ m j ʌ n
와쓸	w a s͈ ɯ l
와야	w a j a
완는지	w a n n ɯ n t͡ɕ i
완도구네서	w a n t o g u n e s ʌ
완전	w a n t͡ɕ ʌ n
왇꼬	w a t̚ k͈ o
왇따	w a t̚ t͈ a
왇따갇따	w a t̚ t͈ a g a t̚ t͈ a
왇씀니다	w a t̚ s͈ ɯ m n i d a
왕	w a ŋ
왕밤	w a ŋ p a m
왕은	w a ŋ ɯ n
왕조에	w a ŋ t͡ɕ o e
왜	w ɛ
왜먹끼만	w ɛ m ʌ k̚ k͈ i m a n
왜목	w ɛ m o k̚
외눈까푸리가	w e n u n k͈ a pʰ u ɾ i g a
외눈까푸리는	w e n u n k͈ a pʰ u ɾ i n ɯ n
외등	w e d ɯ ŋ
외며늘	w e m j ʌ n ɯ l
요	j o
요글	j o g ɯ l
요령	j o ɾ j ʌ ŋ
요릳찌베서	j o ɾ i t̚ t͡ɕ͈ i b e s ʌ
요새	j o s ɛ
요새가치	j o s ɛ g a t͡ɕʰ i
요즘	j o d͡ʑ ɯ m
욕뙤게	j o k̚ t͈ w e g e
욕써를	j o k̚ s͈ ʌ ɾ ɯ l
욕씸만	j o k̚ s͈ i m m a n
용	j o ŋ
용기가	j o ŋ k i g a
용기를	j o ŋ k i ɾ ɯ l
용기의	j o ŋ k i ɰ i
용모에	j o ŋ m o e
용사느로	j o ŋ s a n ɯ ɾ o
용서해	j o ŋ s ʌ h ɛ
용여늬	j o ŋ j ʌ n i
용이하게	j o ŋ i h a g e
우	u
우녕하거나	u n j ʌ ŋ h a g ʌ n a
우는	u n ɯ n
우동	u d o ŋ
우두커니	u d u kʰ ʌ n i
우뚝	u t͈ u k̚
우러러	u ɾ ʌ l ʌ
우러러본다	u ɾ ʌ l ʌ b o n t a
우럳따	u ɾ ʌ t̚ t͈ a
우럳씀니다	u ɾ ʌ t̚ s͈ ɯ m n i d a
우르르	u ɾ ɯ l ɯ
우르믈	u ɾ ɯ m ɯ l
우리	u ɾ i
우리가	u ɾ i g a
우리나라가	u ɾ i n a ɾ a g a
우리는	u ɾ i n ɯ n
우리드른	u ɾ i d ɯ ɾ ɯ n
우리들	u ɾ i d ɯ l
우리의	u ɾ i ɰ i
우미	u m i
우미관	u m i g w a n
우벼	u b j ʌ
우서	u s ʌ
우선	u s ʌ n
우섣따	u s ʌ t̚ t͈ a
우섣씀니다	u s ʌ t̚ s͈ ɯ m n i d a
우스며	u s ɯ m j ʌ
우스면	u s ɯ m j ʌ n
우스믈	u s ɯ m ɯ l
우스미	u s ɯ m i
우슴	u s ɯ m
우슴소리가	u s ɯ m s o ɾ i g a
우장도	u d͡ʑ a ŋ t o
우중에	u d͡ʑ u ŋ e
욱	u k̚
운는	u n n ɯ n
운는다	u n n ɯ n t a
운다	u n t a
운동꾸니	u n t o ŋ k͈ u n i
운동이야	u n t o ŋ i j a
운동회	u n t o ŋ h w e
운수	u n s u
운수가	u n s u g a
운전수를	u n t͡ɕ ʌ n s u ɾ ɯ l
욷꼬	u t̚ k͈ o
욷끼	u t̚ k͈ i
욷떤	u t̚ t͈ ʌ n
욷찌	u t̚ t͡ɕ͈ i
울고	u l k o
울곤	u l k o n
울기	u l k i
울렁거리지	u l l ʌ ŋ k ʌ ɾ i d͡ʑ i
울렫따	u l l j ʌ t̚ t͈ a
울리도록	u l l i d o ɾ o k̚
울리어	u l l i ʌ
울린다	u l l i n t a
울림	u l l i m
울면	u l m j ʌ n
울면서	u l m j ʌ n s ʌ
움마게서	u m m a g e s ʌ
움찔하는	u m t͡ɕ͈ i l h a n ɯ n
움켜쥐며	u m kʰ j ʌ d͡ʑ w i m j ʌ
워니나	w ʌ n i n a
워싱턴도	w ʌ s i ŋ tʰ ʌ n t o
원두만크믄	w ʌ n t u m a n kʰ ɯ m ɯ n
원망과	w ʌ n m a ŋ k w a
원망스러우메	w ʌ n m a ŋ s ɯ ɾ ʌ u m e
원망스럽께	w ʌ n m a ŋ s ɯ ɾ ʌ p̚ k͈ e
원소가	w ʌ n s o g a
원소를	w ʌ n s o ɾ ɯ l
원수가	w ʌ n s u g a
원수의	w ʌ n s u ɰ i
원재	w ʌ n t͡ɕ ɛ
원재는	w ʌ n t͡ɕ ɛ n ɯ n
원재의	w ʌ n t͡ɕ ɛ ɰ i
월급쨍이드리	w ʌ l k ɯ p̚ t͡ɕ͈ ɛ ŋ i d ɯ ɾ i
월미도를	w ʌ l m i d o ɾ ɯ l
웨니린지	w e n i ɾ i n t͡ɕ i
위골된	w i g o l t w e n
위는	w i n ɯ n
위대하믈	w i d ɛ h a m ɯ l
위로	w i ɾ o
위를	w i ɾ ɯ l
위아늘	w i a n ɯ l
위어믈	w i ʌ m ɯ l
위에	w i e
위에다가	w i e d a g a
위에서	w i e s ʌ
위의	w i ɰ i
위하여	w i h a j ʌ
위한	w i h a n
위해	w i h ɛ
위해서	w i h ɛ s ʌ
위허녀부	w i h ʌ n j ʌ b u
윋까느로	w i t̚ k͈ a n ɯ ɾ o
유념해주세요	j u n j ʌ m h ɛ d͡ʑ u s e j o
유달리	j u d a l l i
유동성이	j u d o ŋ s ʌ ŋ i
유리창으로	j u ɾ i t͡ɕʰ a ŋ ɯ ɾ o
유리하는	j u ɾ i h a n ɯ n
유명하엳떤	j u m j ʌ ŋ h a j ʌ t̚ t͈ ʌ n
유명한	j u m j ʌ ŋ h a n
유서	j u s ʌ
유서방은	j u s ʌ b a ŋ ɯ n
유서방을	j u s ʌ b a ŋ ɯ l
유서방이며	j u s ʌ b a ŋ i m j ʌ
유성기	j u s ʌ ŋ k i
유아	j u a
유지비가	j u d͡ʑ i b i g a
유쾌하지	j u kʰ w ɛ h a d͡ʑ i
유히가	j u h i g a
육빽쌈호인	j u k̚ p͈ ɛ k̚ s͈ a m h o i n
육썽하여야	j u k̚ s͈ ʌ ŋ h a j ʌ j a
육씨늬	j u k̚ s͈ i n i
육축꽈	j u k̚ t͡ɕʰ u k̚ k͈ w a
윤곽꽈	j u n k w a k̚ k͈ w a
윤태카게	j u n tʰ ɛ kʰ a g e
으니니나	ɯ n i n i n a
으레	ɯ ɾ e
으마글	ɯ m a g ɯ l
으마긔	ɯ m a g i
으마기	ɯ m a g i
으막	ɯ m a k̚
으뭔	ɯ m w ʌ n
으브로	ɯ b ɯ ɾ o
으븨	ɯ b i
으스칸	ɯ s ɯ kʰ a n
으응	ɯ ɯ ŋ
은공을	ɯ n k o ŋ ɯ l
은그메	ɯ n k ɯ m e
은반	ɯ n p a n
은태게	ɯ n tʰ ɛ g e
은히는	ɯ n h i n ɯ n
은히의	ɯ n h i ɰ i
음녀의	ɯ m n j ʌ ɰ i
음니다	ɯ m n i d a
음보를	ɯ m p o ɾ ɯ l
음성	ɯ m s ʌ ŋ
음성에	ɯ m s ʌ ŋ e
음성은	ɯ m s ʌ ŋ ɯ n
음성을	ɯ m s ʌ ŋ ɯ l
음성의	ɯ m s ʌ ŋ ɰ i
음성인들	ɯ m s ʌ ŋ i n t ɯ l
음시글	ɯ m s i g ɯ l
응다레서만	ɯ ŋ t a ɾ e s ʌ m a n
응하여야	ɯ ŋ h a j ʌ j a
의	ɰ i
의겨늘	ɰ i g j ʌ n ɯ l
의겨를	ɰ i g j ʌ ɾ ɯ l
의논하므로	ɰ i n o n h a m ɯ ɾ o
의논할	ɰ i n o n h a l
의누네서는	ɰ i n u n e s ʌ n ɯ n
의뢰는	ɰ i ɾ w e n ɯ n
