аа	aː
тооцоогоо	tʰ ɔː t͡sʰ ɔː ɡ ɔː
тооцоогүй	tʰ ɔː t͡sʰ ɔː ɡ u j
тооцоолж	tʰ ɔː t͡sʰ ɔː ɮ t͡ʃ
тооцооллын	tʰ ɔː t͡sʰ ɔː ɮ ɮ iː n
тооцоолол	tʰ ɔː t͡sʰ ɔː ɮ ɔ ɮ
тооцоолсон	tʰ ɔː t͡sʰ ɔː ɮ s ɔ n
тооцоотой	tʰ ɔː t͡sʰ ɔː tʰ ɔ j
тооцох	tʰ ɔː t͡sʰ ɔ x
тоочдог	tʰ ɔː t͡ʃʰ t ɔ ɡ
тоочиж	tʰ ɔː t͡ʃʰ i t͡ʃ
тоочихоос	tʰ ɔː t͡ʃʰ i x ɔː s
тор	tʰ ɔ r
торгон	tʰ ɔ r ɡ ɔ n
торгуулийн	tʰ ɔ r ɡ ʊː ɮ iː n
тордох	tʰ ɔ r t ɔ x
торлог	tʰ ɔ r ɮ ɔ ɡ
торниход	tʰ ɔ r n i x ɔ t
торойгоод	tʰ ɔ r ɔ j ɡ ɔː t
торонд	tʰ ɔ r ɔ n t
торохгүй	tʰ ɔ r ɔ x ɡ u j
тортог	tʰ ɔ r tʰ ɔ ɡ
торхны	tʰ ɔ r x n iː
торхон	tʰ ɔ r x ɔ n
торхтой	tʰ ɔ r x tʰ ɔ j
тос	tʰ ɔ s
тосгон	tʰ ɔ s ɡ ɔ n
тосгоноосоо	tʰ ɔ s ɡ ɔ n ɔː s ɔː
тосгоны	tʰ ɔ s ɡ ɔ n iː
тослогжсон	tʰ ɔ s ɮ ɔ ɡ t͡ʃ s ɔ n
тосны	tʰ ɔ s n iː
тосож	tʰ ɔ s ɔ t͡ʃ
тосон	tʰ ɔ s ɔ n
тоссон	tʰ ɔ s s ɔ n
тосыг	tʰ ɔ s iː ɡ
тотготой	tʰ ɔ tʰ ɡ ɔ tʰ ɔ j
тохижилт	tʰ ɔ x i t͡ʃ i ɮ tʰ
тохижуулжээ	tʰ ɔ x i t͡ʃ ʊː ɮ t͡ʃ ɛː
тохийг	tʰ ɔ x iː ɡ
тохилог	tʰ ɔ x i ɮ ɔ ɡ
тохилогхон	tʰ ɔ x i ɮ ɔ ɡ x ɔ n
тохиодог	tʰ ɔ x iɔ t ɔ ɡ
тохиожээ	tʰ ɔ x iɔ t͡ʃ ɛː
тохиолдвол	tʰ ɔ x iɔ ɮ t w ɔ ɮ
тохиолддог	tʰ ɔ x iɔ ɮ t t ɔ ɡ
тохиолдлоо	tʰ ɔ x iɔ ɮ t ɮ ɔː
тохиолдлоос	tʰ ɔ x iɔ ɮ t ɮ ɔː s
тохиолдлыг	tʰ ɔ x iɔ ɮ t ɮ iː ɡ
тохиолдлын	tʰ ɔ x iɔ ɮ t ɮ iː n
тохиолдов	tʰ ɔ x iɔ ɮ t ɔ w
тохиолдож	tʰ ɔ x iɔ ɮ t ɔ t͡ʃ
тохиолдол	tʰ ɔ x iɔ ɮ t ɔ ɮ
тохиолдолд	tʰ ɔ x iɔ ɮ t ɔ ɮ t
тохиолдоно	tʰ ɔ x iɔ ɮ t ɔ n ɔ
тохиолдоод	tʰ ɔ x iɔ ɮ t ɔː t
тохиолдох	tʰ ɔ x iɔ ɮ t ɔ x
тохиолдоход	tʰ ɔ x iɔ ɮ t ɔ x ɔ t
тохиолдохыг	tʰ ɔ x iɔ ɮ t ɔ x iː ɡ
тохиолдсон	tʰ ɔ x iɔ ɮ t s ɔ n
тохиолдсоныг	tʰ ɔ x iɔ ɮ t s ɔ n iː ɡ
тохиолоор	tʰ ɔ x iɔ ɮ ɔː r
тохиох	tʰ ɔ x iɔ x
тохиргоогоо	tʰ ɔ x i r ɡ ɔː ɡ ɔː
тохиролцож	tʰ ɔ x i r ɔ ɮ t͡sʰ ɔ t͡ʃ
тохиролцоо	tʰ ɔ x i r ɔ ɮ t͡sʰ ɔː
тохиролцоод	tʰ ɔ x i r ɔ ɮ t͡sʰ ɔː t
тохиролцоонд	tʰ ɔ x i r ɔ ɮ t͡sʰ ɔː n t
тохиролцсон	tʰ ɔ x i r ɔ ɮ t͡sʰ s ɔ n
тохиромжтой	tʰ ɔ x i r ɔ m t͡ʃ tʰ ɔ j
тохирох	tʰ ɔ x i r ɔ x
тохирохыг	tʰ ɔ x i r ɔ x iː ɡ
тохирсон	tʰ ɔ x i r s ɔ n
тохируулан	tʰ ɔ x i r ʊː ɮ a n
тохируулах	tʰ ɔ x i r ʊː ɮ a x
тохитой	tʰ ɔ x i tʰ ɔ j
тохой	tʰ ɔ x ɔ j
тохсон	tʰ ɔ x s ɔ n
тохуу	tʰ ɔ x ʊː
трактор	tʰ r a kʰ tʰ ɔ r
тракторын	tʰ r a kʰ tʰ ɔ r iː n
трамп	tʰ r a m pʰ
трансформатор	tʰ r a n s f ɔ r m a tʰ ɔ r
трафальгарсквер	tʰ r a f a ɮʲ ɡ a r s kʰ wʲ i r
туг	tʰ ʊ ɡ
тугаар	tʰ ʊ ɡ aː r
тугал	tʰ ʊ ɡ a ɮ
тугийг	tʰ ʊ ɡ iː ɡ
тугийн	tʰ ʊ ɡ iː n
туйлдуулж	tʰ ʊi ɮ t ʊː ɮ t͡ʃ
туйлын	tʰ ʊi ɮ iː n
тул	tʰ ʊ ɮ
тулаад	tʰ ʊ ɮ aː t
тулаан	tʰ ʊ ɮ aː n
тулаанд	tʰ ʊ ɮ aː n t
тулаанууд	tʰ ʊ ɮ aː n ʊː t
тулааны	tʰ ʊ ɮ aː n iː
тулалдаанд	tʰ ʊ ɮ a ɮ t aː n t
тулалдаж	tʰ ʊ ɮ a ɮ t a t͡ʃ
тулан	tʰ ʊ ɮ a n
тулах	tʰ ʊ ɮ a x
тулахаар	tʰ ʊ ɮ a x aː r
тулахыг	tʰ ʊ ɮ a x iː ɡ
тулга	tʰ ʊ ɮ ɡ a
тулгаа	tʰ ʊ ɮ ɡ aː
тулгаад	tʰ ʊ ɮ ɡ aː t
тулгаж	tʰ ʊ ɮ ɡ a t͡ʃ
тулган	tʰ ʊ ɮ ɡ a n
тулганд	tʰ ʊ ɮ ɡ a n t
тулгараад	tʰ ʊ ɮ ɡ a r aː t
тулгарах	tʰ ʊ ɮ ɡ a r a x
тулгарвал	tʰ ʊ ɮ ɡ a r w a ɮ
тулгардаг	tʰ ʊ ɮ ɡ a r t a ɡ
тулгарна	tʰ ʊ ɮ ɡ a r n a
тулгарсаар	tʰ ʊ ɮ ɡ a r s aː r
тулгарсан	tʰ ʊ ɮ ɡ a r s a n
тулгарсандаа	tʰ ʊ ɮ ɡ a r s a n t aː
тулгарч	tʰ ʊ ɮ ɡ a r t͡ʃʰ
тулгасаар	tʰ ʊ ɮ ɡ a s aː r
тулгуур	tʰ ʊ ɮ ɡ ʊː r
тулгуурлавал	tʰ ʊ ɮ ɡ ʊː r ɮ a w a ɮ
тулгуурладаг	tʰ ʊ ɮ ɡ ʊː r ɮ a t a ɡ
тулгуурлаж	tʰ ʊ ɮ ɡ ʊː r ɮ a t͡ʃ
тулгуурлан	tʰ ʊ ɮ ɡ ʊː r ɮ a n
тулгуурласан	tʰ ʊ ɮ ɡ ʊː r ɮ a s a n
тулд	tʰ ʊ ɮ t
тулж	tʰ ʊ ɮ t͡ʃ
тулжээ	tʰ ʊ ɮ t͡ʃ ɛː
тулна	tʰ ʊ ɮ n a
тултал	tʰ ʊ ɮ tʰ a ɮ
тун	tʰ ʊ n
тунадас	tʰ ʊ n a t a s
тунана	tʰ ʊ n a n a
тунаран	tʰ ʊ n a r a n
тунарах	tʰ ʊ n a r a x
тунарчээ	tʰ ʊ n a r t͡ʃʰ ɛː
тунг	tʰ ʊ n ɡ
тунгаан	tʰ ʊ n ɡ aː n
тунгаараа	tʰ ʊ n ɡ aː r aː
тунгаас	tʰ ʊ n ɡ aː s
тунгааснаар	tʰ ʊ n ɡ aː s n aː r
тунгалаг	tʰ ʊ n ɡ a ɮ a ɡ
тунгалгаар	tʰ ʊ n ɡ a ɮ ɡ aː r
тунгалгийг	tʰ ʊ n ɡ a ɮ ɡ iː ɡ
тунирхав	tʰ ʊ n i r x a w
тунирхаж	tʰ ʊ n i r x a t͡ʃ
тунирхсан	tʰ ʊ n i r x s a n
туних	tʰ ʊ n i x
тунхагласны	tʰ ʊ n x a ɡ ɮ a s n iː
туньсан	tʰ ʊ nʲ s a n
туранхай	tʰ ʊ r a n x a j
тургиж	tʰ ʊ r ɡ i t͡ʃ
тургилах	tʰ ʊ r ɡ i ɮ a x
тургичихсан	tʰ ʊ r ɡ i t͡ʃʰ i x s a n
турж	tʰ ʊ r t͡ʃ
турк	tʰ ʊ r kʰ
туркестан	tʰ ʊ r kʰʲ i s tʰ a n
туркийн	tʰ ʊ r kʰ iː n
турсан	tʰ ʊ r s a n
турш	tʰ ʊ r ʃ
туршдаа	tʰ ʊ r ʃ t aː
туршигчид	tʰ ʊ r ʃ i ɡ t͡ʃʰ i t
туршид	tʰ ʊ r ʃ i t
туршиж	tʰ ʊ r ʃ i t͡ʃ
туршийн	tʰ ʊ r ʃ iː n
туршилт	tʰ ʊ r ʃ i ɮ tʰ
туршилтаа	tʰ ʊ r ʃ i ɮ tʰ aː
туршилтанд	tʰ ʊ r ʃ i ɮ tʰ a n t
туршилтыг	tʰ ʊ r ʃ i ɮ tʰ iː ɡ
турших	tʰ ʊ r ʃ i x
туршлага	tʰ ʊ r ʃ ɮ a ɡ a
туршлагадаа	tʰ ʊ r ʃ ɮ a ɡ a t aː
туршлагажсан	tʰ ʊ r ʃ ɮ a ɡ a t͡ʃ s a n
туршлагатай	tʰ ʊ r ʃ ɮ a ɡ a tʰ a j
туршлагын	tʰ ʊ r ʃ ɮ a ɡ iː n
туршсан	tʰ ʊ r ʃ s a n
туршуулууд	tʰ ʊ r ʃ ʊː ɮ ʊː t
турьхан	tʰ ʊ rʲ x a n
тус	tʰ ʊ s
тусав	tʰ ʊ s a w
тусал	tʰ ʊ s a ɮ
тусалдаг	tʰ ʊ s a ɮ t a ɡ
тусалж	tʰ ʊ s a ɮ t͡ʃ
тусална	tʰ ʊ s a ɮ n a
тусалсан	tʰ ʊ s a ɮ s a n
тусам	tʰ ʊ s a m
тусан	tʰ ʊ s a n
тусархаг	tʰ ʊ s a r x a ɡ
тусах	tʰ ʊ s a x
тусгаар	tʰ ʊ s ɡ aː r
тусгаарлалт	tʰ ʊ s ɡ aː r ɮ a ɮ tʰ
тусгаарласан	tʰ ʊ s ɡ aː r ɮ a s a n
тусгаарлах	tʰ ʊ s ɡ aː r ɮ a x
тусгаарлахыг	tʰ ʊ s ɡ aː r ɮ a x iː ɡ
тусгаж	tʰ ʊ s ɡ a t͡ʃ
тусгай	tʰ ʊ s ɡ a j
тусгайлан	tʰ ʊ s ɡ a j ɮ a n
тусгасан	tʰ ʊ s ɡ a s a n
тусгахдаа	tʰ ʊ s ɡ a x t aː
тусгахыг	tʰ ʊ s ɡ a x iː ɡ
тусгүй	tʰ ʊ s ɡ u j
тусдаа	tʰ ʊ s t aː
тусдаг	tʰ ʊ s t a ɡ
тусжээ	tʰ ʊ s t͡ʃ ɛː
туслаад	tʰ ʊ s ɮ aː t
туслаач	tʰ ʊ s ɮ aː t͡ʃʰ
туслагч	tʰ ʊ s ɮ a ɡ t͡ʃʰ
туслагчийн	tʰ ʊ s ɮ a ɡ t͡ʃʰ iː n
туслалцаа	tʰ ʊ s ɮ a ɮ t͡sʰ aː
туслалцаатай	tʰ ʊ s ɮ a ɮ t͡sʰ aː tʰ a j
туслалцаатайгаар	tʰ ʊ s ɮ a ɮ t͡sʰ aː tʰ a j ɡ aː r
тусламж	tʰ ʊ s ɮ a m t͡ʃ
тусламжийн	tʰ ʊ s ɮ a m t͡ʃ iː n
туслан	tʰ ʊ s ɮ a n
туслах	tʰ ʊ s ɮ a x
туслахаасаа	tʰ ʊ s ɮ a x aː s aː
туслахтай	tʰ ʊ s ɮ a x tʰ a j
туслахын	tʰ ʊ s ɮ a x iː n
тусмаа	tʰ ʊ s m aː
тусна	tʰ ʊ s n a
туссан	tʰ ʊ s s a n
тустай	tʰ ʊ s tʰ a j
тусч	tʰ ʊ s t͡ʃʰ
тусыг	tʰ ʊ s iː ɡ
тусын	tʰ ʊ s iː n
тусынхаа	tʰ ʊ s iː n x aː
тутам	tʰ ʊ tʰ a m
тутамд	tʰ ʊ tʰ a m t
тутмын	tʰ ʊ tʰ m iː n
туугаа	tʰ ʊː ɡ aː
туугаад	tʰ ʊː ɡ aː t
туугдан	tʰ ʊː ɡ t a n
туугдсан	tʰ ʊː ɡ t s a n
туужаас	tʰ ʊː t͡ʃ aː s
тууз	tʰ ʊː t͡s
туул	tʰ ʊː ɮ
туулаа	tʰ ʊː ɮ aː
туулаад	tʰ ʊː ɮ aː t
туулай	tʰ ʊː ɮ a j
туулга	tʰ ʊː ɮ ɡ a
туулж	tʰ ʊː ɮ t͡ʃ
туулсан	tʰ ʊː ɮ s a n
туульст	tʰ ʊː ɮʲ s tʰ
туульсын	tʰ ʊː ɮʲ s iː n
туурайн	tʰ ʊː r a j n
туурвиж	tʰ ʊː r w i t͡ʃ
туурвихад	tʰ ʊː r w i x a t
тууштай	tʰ ʊː ʃ tʰ a j
туфль	tʰ ʊ f ɮʲ
тух	tʰ ʊ x
тухад	tʰ ʊ x a t
тухай	tʰ ʊ x a j
тухайгаа	tʰ ʊ x a j ɡ aː
тухайд	tʰ ʊ x a j t
тухайлбал	tʰ ʊ x a j ɮ p a ɮ
тухайлсан	tʰ ʊ x a j ɮ s a n
тухайн	tʰ ʊ x a j n
тухлаад	tʰ ʊ x ɮ aː t
тухтай	tʰ ʊ x tʰ a j
тухыг	tʰ ʊ x iː ɡ
тушаав	tʰ ʊ ʃ aː w
тушаавал	tʰ ʊ ʃ aː w a ɮ
тушаал	tʰ ʊ ʃ aː ɮ
тушаалаар	tʰ ʊ ʃ aː ɮ aː r
тушаалаасаа	tʰ ʊ ʃ aː ɮ aː s aː
тушаалд	tʰ ʊ ʃ aː ɮ t
тушаалтан	tʰ ʊ ʃ aː ɮ tʰ a n
тушаалтнуудтайгаа	tʰ ʊ ʃ aː ɮ tʰ n ʊː t tʰ a j ɡ aː
тушаалтнуудын	tʰ ʊ ʃ aː ɮ tʰ n ʊː t iː n
тушаалын	tʰ ʊ ʃ aː ɮ iː n
тушаангуй	tʰ ʊ ʃ aː n ɡ ʊi
тушаасан	tʰ ʊ ʃ aː s a n
туяа	tʰ ʊ j a
туяагаа	tʰ ʊ j a ɡ aː
туяагийн	tʰ ʊ j a ɡ iː n
туяаран	tʰ ʊ j a r a n
туяарах	tʰ ʊ j a r a x
туяатай	tʰ ʊ j a tʰ a j
тэвдсэн	tʰ ɛ w t s ɛ n
тэвдэж	tʰ ɛ w t ɛ t͡ʃ
тэвдээд	tʰ ɛ w t ɛː t
тэвнэ	tʰ ɛ w n ɛ
тэвнээр	tʰ ɛ w n ɛː r
тэврэлт	tʰ ɛ w r ɛ ɮ tʰ
тэврэх	tʰ ɛ w r ɛ x
тэврэхэд	tʰ ɛ w r ɛ x ɛ t
тэврээд	tʰ ɛ w r ɛː t
тэврүүлснээр	tʰ ɛ w r uː ɮ s n ɛː r
тэвчиж	tʰ ɛ w t͡ʃʰ i t͡ʃ
тэвчээр	tʰ ɛ w t͡ʃʰ ɛː r
тэвчээртэй	tʰ ɛ w t͡ʃʰ ɛː r tʰ ɛ j
тэвчээрээ	tʰ ɛ w t͡ʃʰ ɛː r ɛː
тэвчээрээр	tʰ ɛ w t͡ʃʰ ɛː r ɛː r
тэвэрдэг	tʰ ɛ w ɛ r t ɛ ɡ
тэвэрлээ	tʰ ɛ w ɛ r ɮ ɛː
тэвэрч	tʰ ɛ w ɛ r t͡ʃʰ
тэвэрчээ	tʰ ɛ w ɛ r t͡ʃʰ ɛː
тэг	tʰ ɛ ɡ
тэгвэл	tʰ ɛ ɡ w ɛ ɮ
тэгдэг	tʰ ɛ ɡ t ɛ ɡ
тэгж	tʰ ɛ ɡ t͡ʃ
тэглээ	tʰ ɛ ɡ ɮ ɛː
тэгмэгц	tʰ ɛ ɡ m ɛ ɡ t͡sʰ
тэгмээр	tʰ ɛ ɡ m ɛː r
тэгснээ	tʰ ɛ ɡ s n ɛː
тэгсхийгээд	tʰ ɛ ɡ s x iː ɡ ɛː t
тэгсэн	tʰ ɛ ɡ s ɛ n
тэгсээр	tʰ ɛ ɡ s ɛː r
тэгтлээ	tʰ ɛ ɡ tʰ ɮ ɛː
тэгтэл	tʰ ɛ ɡ tʰ ɛ ɮ
тэгчихнэ	tʰ ɛ ɡ t͡ʃʰ i x n ɛ
тэгш	tʰ ɛ ɡ ʃ
тэгшиллээ	tʰ ɛ ɡ ʃ i ɮ ɮ ɛː
тэгширч	tʰ ɛ ɡ ʃ i r t͡ʃʰ
тэгшлэх	tʰ ɛ ɡ ʃ ɮ ɛ x
тэгшрэх	tʰ ɛ ɡ ʃ r ɛ x
тэгшхэн	tʰ ɛ ɡ ʃ x ɛ n
тэгье	tʰ ɛ ɡʲ j i
тэгэвч	tʰ ɛ ɡ ɛ w t͡ʃʰ
тэгэлгүй	tʰ ɛ ɡ ɛ ɮ ɡ u j
тэгэх	tʰ ɛ ɡ ɛ x
тэгэхгүй	tʰ ɛ ɡ ɛ x ɡ u j
тэгэхдээ	tʰ ɛ ɡ ɛ x t ɛː
тэгэхлээр	tʰ ɛ ɡ ɛ x ɮ ɛː r
тэгэхэд	tʰ ɛ ɡ ɛ x ɛ t
тэгэхээр	tʰ ɛ ɡ ɛ x ɛː r
тэгээд	tʰ ɛ ɡ ɛː t
тэд	tʰ ɛ t
тэдгээр	tʰ ɛ t ɡ ɛː r
тэдгээрийн	tʰ ɛ t ɡ ɛː r iː n
тэдгээрт	tʰ ɛ t ɡ ɛː r tʰ
тэдгээрээс	tʰ ɛ t ɡ ɛː r ɛː s
тэдний	tʰ ɛ t n iː
тэднийг	tʰ ɛ t n iː ɡ
тэднийгээ	tʰ ɛ t n iː ɡ ɛː
тэднийд	tʰ ɛ t n iː t
тэднийх	tʰ ɛ t n iː x
тэднийхээ	tʰ ɛ t n iː x ɛː
тэднийхээс	tʰ ɛ t n iː x ɛː s
тэднээс	tʰ ɛ t n ɛː s
тэдэн	tʰ ɛ t ɛ n
тэдэнд	tʰ ɛ t ɛ n t
тэдэндээ	tʰ ɛ t ɛ n t ɛː
тэдэнтэй	tʰ ɛ t ɛ n tʰ ɛ j
тэжээгддэг	tʰ ɛ t͡ʃ ɛː ɡ t t ɛ ɡ
тэжээж	tʰ ɛ t͡ʃ ɛː t͡ʃ
тэжээл	tʰ ɛ t͡ʃ ɛː ɮ
тэжээлт	tʰ ɛ t͡ʃ ɛː ɮ tʰ
тэжээхээр	tʰ ɛ t͡ʃ ɛː x ɛː r
тэй	tʰ ɛ j
тэлж	tʰ ɛ ɮ t͡ʃ
тэлэв	tʰ ɛ ɮ ɛ w
тэмдгийг	tʰ ɛ m t ɡ iː ɡ
тэмдгийн	tʰ ɛ m t ɡ iː n
тэмдгэрэв	tʰ ɛ m t ɡ ɛ r ɛ w
тэмдгүүдийг	tʰ ɛ m t ɡ uː t iː ɡ
тэмдэг	tʰ ɛ m t ɛ ɡ
тэмдэглэгээтэй	tʰ ɛ m t ɛ ɡ ɮ ɛ ɡ ɛː tʰ ɛ j
тэмдэглэдэг	tʰ ɛ m t ɛ ɡ ɮ ɛ t ɛ ɡ
тэмдэглэе	tʰ ɛ m t ɛ ɡ ɮ ɛ j
тэмдэглэж	tʰ ɛ m t ɛ ɡ ɮ ɛ t͡ʃ
тэмдэглэлийн	tʰ ɛ m t ɛ ɡ ɮ ɛ ɮ iː n
тэмдэглэлт	tʰ ɛ m t ɛ ɡ ɮ ɛ ɮ tʰ
тэмдэглэлээ	tʰ ɛ m t ɛ ɡ ɮ ɛ ɮ ɛː
тэмдэглэмээр	tʰ ɛ m t ɛ ɡ ɮ ɛ m ɛː r
тэмдэглэн	tʰ ɛ m t ɛ ɡ ɮ ɛ n
тэмдэглэсэн	tʰ ɛ m t ɛ ɡ ɮ ɛ s ɛ n
тэмдэглэх	tʰ ɛ m t ɛ ɡ ɮ ɛ x
тэмдэглэхэд	tʰ ɛ m t ɛ ɡ ɮ ɛ x ɛ t
тэмдэглээд	tʰ ɛ m t ɛ ɡ ɮ ɛː t
тэмдэглүүлж	tʰ ɛ m t ɛ ɡ ɮ uː ɮ t͡ʃ
тэмдэгтэй	tʰ ɛ m t ɛ ɡ tʰ ɛ j
тэмдэгтүүдээс	tʰ ɛ m t ɛ ɡ tʰ uː t ɛː s
тэмтрэх	tʰ ɛ m tʰ r ɛ x
тэмтэрч	tʰ ɛ m tʰ ɛ r t͡ʃʰ
тэмцэгч	tʰ ɛ m t͡sʰ ɛ ɡ t͡ʃʰ
тэмцэл	tʰ ɛ m t͡sʰ ɛ ɮ
тэмцэлдэхийг	tʰ ɛ m t͡sʰ ɛ ɮ t ɛ x iː ɡ
тэмцэнэ	tʰ ɛ m t͡sʰ ɛ n ɛ
тэмцэхээр	tʰ ɛ m t͡sʰ ɛ x ɛː r
тэмцээд	tʰ ɛ m t͡sʰ ɛː t
тэмцээн	tʰ ɛ m t͡sʰ ɛː n
тэмцээнд	tʰ ɛ m t͡sʰ ɛː n t
тэмцээнээс	tʰ ɛ m t͡sʰ ɛː n ɛː s
тэмээ	tʰ ɛ m ɛː
тэмээг	tʰ ɛ m ɛː ɡ
тэмээгээр	tʰ ɛ m ɛː ɡ ɛː r
тэмээнийх	tʰ ɛ m ɛː n iː x
тэмүжин	tʰ ɛ m u t͡ʃ i n
тэмүжинд	tʰ ɛ m u t͡ʃ i n t
тэмүүлдэггүй	tʰ ɛ m uː ɮ t ɛ ɡ ɡ u j
тэмүүлэх	tʰ ɛ m uː ɮ ɛ x
тэн	tʰ ɛ n
тэнгийнхэн	tʰ ɛ n ɡ iː n x ɛ n
тэнгисийг	tʰ ɛ n ɡ i s iː ɡ
тэнгисийн	tʰ ɛ n ɡ i s iː n
тэнгист	tʰ ɛ n ɡ i s tʰ
тэнгисээр	tʰ ɛ n ɡ i s ɛː r
тэнгисээс	tʰ ɛ n ɡ i s ɛː s
тэнгэр	tʰ ɛ n ɡ ɛ r
тэнгэргүй	tʰ ɛ n ɡ ɛ r ɡ u j
тэнгэрийг	tʰ ɛ n ɡ ɛ r iː ɡ
тэнгэрийн	tʰ ɛ n ɡ ɛ r iː n
тэнгэрт	tʰ ɛ n ɡ ɛ r tʰ
тэнгэрээс	tʰ ɛ n ɡ ɛ r ɛː s
тэнд	tʰ ɛ n t
тэндгүй	tʰ ɛ n t ɡ u j
тэндхийн	tʰ ɛ n t x iː n
тэндэх	tʰ ɛ n t ɛ x
тэндээ	tʰ ɛ n t ɛː
тэндээс	tʰ ɛ n t ɛː s
тэндээсээ	tʰ ɛ n t ɛː s ɛː
тэнхим	tʰ ɛ n x i m
тэнхимийн	tʰ ɛ n x i m iː n
тэнхимтэй	tʰ ɛ n x i m tʰ ɛ j
тэнхлүүн	tʰ ɛ n x ɮ uː n
тэнхмийн	tʰ ɛ n x m iː n
тэнхрээд	tʰ ɛ n x r ɛː t
тэнхэл	tʰ ɛ n x ɛ ɮ
тэнхээ	tʰ ɛ n x ɛː
тэнхээтэй	tʰ ɛ n x ɛː tʰ ɛ j
тэнцвэр	tʰ ɛ n t͡sʰ w ɛ r
тэнцвэргүй	tʰ ɛ n t͡sʰ w ɛ r ɡ u j
тэнцсэн	tʰ ɛ n t͡sʰ s ɛ n
тэнцэнэ	tʰ ɛ n t͡sʰ ɛ n ɛ
тэнцэх	tʰ ɛ n t͡sʰ ɛ x
тэнцүүрхлийн	tʰ ɛ n t͡sʰ uː r x ɮ iː n
тэнцүүхэн	tʰ ɛ n t͡sʰ uː x ɛ n
тэнэг	tʰ ɛ n ɛ ɡ
тэнэгэрхэн	tʰ ɛ n ɛ ɡ ɛ r x ɛ n
тэнэгүүдийн	tʰ ɛ n ɛ ɡ uː t iː n
тэнэмэл	tʰ ɛ n ɛ m ɛ ɮ
тэнэх	tʰ ɛ n ɛ x
тэнүүлч	tʰ ɛ n uː ɮ t͡ʃʰ
тэнүүн	tʰ ɛ n uː n
тэнүүчилнэ	tʰ ɛ n uː t͡ʃʰ i ɮ n ɛ
тэр	tʰ ɛ r
тэрбумтан	tʰ ɛ r p ʊ m tʰ a n
тэрбээр	tʰ ɛ r p ɛː r
тэргийг	tʰ ɛ r ɡ iː ɡ
тэргэнд	tʰ ɛ r ɡ ɛ n t
тэргээ	tʰ ɛ r ɡ ɛː
тэргээр	tʰ ɛ r ɡ ɛː r
тэргүй	tʰ ɛ r ɡ u j
тэргүүд	tʰ ɛ r ɡ uː t
тэргүүлдэг	tʰ ɛ r ɡ uː ɮ t ɛ ɡ
тэргүүллээ	tʰ ɛ r ɡ uː ɮ ɮ ɛː
тэргүүлэгч	tʰ ɛ r ɡ uː ɮ ɛ ɡ t͡ʃʰ
тэргүүлэх	tʰ ɛ r ɡ uː ɮ ɛ x
тэргүүн	tʰ ɛ r ɡ uː n
тэргүүнд	tʰ ɛ r ɡ uː n t
тэргүүнээ	tʰ ɛ r ɡ uː n ɛː
тэргүүнүүд	tʰ ɛ r ɡ uː n uː t
тэргүүнүүдээс	tʰ ɛ r ɡ uː n uː t ɛː s
тэргүүр	tʰ ɛ r ɡ uː r
тэргүүтэн	tʰ ɛ r ɡ uː tʰ ɛ n
тэрийг	tʰ ɛ r iː ɡ
тэрлэг	tʰ ɛ r ɮ ɛ ɡ
тэрний	tʰ ɛ r n iː
тэрнээс	tʰ ɛ r n ɛː s
тэрсүүд	tʰ ɛ r s uː t
тэртэй	tʰ ɛ r tʰ ɛ j
тэртээ	tʰ ɛ r tʰ ɛː
тэртээд	tʰ ɛ r tʰ ɛː t
тэрхэн	tʰ ɛ r x ɛ n
тэрхүү	tʰ ɛ r x uː
тэрчлэн	tʰ ɛ r t͡ʃʰ ɮ ɛ n
тэрэг	tʰ ɛ r ɛ ɡ
тэрэгний	tʰ ɛ r ɛ ɡ n iː
тэрэгнээс	tʰ ɛ r ɛ ɡ n ɛː s
тэрэгнүүд	tʰ ɛ r ɛ ɡ n uː t
тэрэлжийн	tʰ ɛ r ɛ ɮ t͡ʃ iː n
тэрээр	tʰ ɛ r ɛː r
тэрүнофүжи	tʰ ɛ r u n ɔ f u t͡ʃ i
тэрүүгээр	tʰ ɛ r uː ɡ ɛː r
тэрүүн	tʰ ɛ r uː n
тэрүүхэндээ	tʰ ɛ r uː x ɛ n t ɛː
тэс	tʰ ɛ s
тэсвэр	tʰ ɛ s w ɛ r
тэсвэрлэх	tʰ ɛ s w ɛ r ɮ ɛ x
тэсвэрлээд	tʰ ɛ s w ɛ r ɮ ɛː t
тэсвэртэйхэн	tʰ ɛ s w ɛ r tʰ ɛ j x ɛ n
тэсгим	tʰ ɛ s ɡ i m
тэсгэлгүй	tʰ ɛ s ɡ ɛ ɮ ɡ u j
тэсдэг	tʰ ɛ s t ɛ ɡ
тэснэ	tʰ ɛ s n ɛ
тэсрэх	tʰ ɛ s r ɛ x
тэссэн	tʰ ɛ s s ɛ n
тэсэж	tʰ ɛ s ɛ t͡ʃ
тэсэлгүй	tʰ ɛ s ɛ ɮ ɡ u j
тэсэн	tʰ ɛ s ɛ n
тэсэхгүй	tʰ ɛ s ɛ x ɡ u j
тэтгэврийн	tʰ ɛ tʰ ɡ ɛ w r iː n
тэтгэврээс	tʰ ɛ tʰ ɡ ɛ w r ɛː s
тэтгэвэрт	tʰ ɛ tʰ ɡ ɛ w ɛ r tʰ
тэтгэлгээр	tʰ ɛ tʰ ɡ ɛ ɮ ɡ ɛː r
